gene,z,logFC,pvals,p_adj,is_known_marker
Ckb,41.4136,2.9453208,0.0,0.0,False
Dbi,38.90701,2.254086,0.0,0.0,False
Fabp7,35.77787,2.9753613,2.4397008577718464e-280,2.2234968912807318e-277,False
Atp1a2,35.11858,4.421505,3.5088987582202227e-270,3.0525824242534927e-267,False
Tnfrsf19,32.76937,4.9604836,1.6086668219025782e-235,9.329780092240438e-233,False
Acot1,32.418903,2.6697302,1.4865417901924124e-230,7.487085084866469e-228,False
Plpp3,31.656515,2.5998642,6.168708786531505e-220,2.811021844414916e-217,False
Gng5,31.409906,1.2438082,1.4819140736218256e-216,6.445989421601846e-214,False
Cst3,30.711859,1.7128543,3.953007278154233e-207,1.4549347364729588e-204,False
Cd63,30.384432,1.9877354,8.821109568607103e-203,2.9618809830451113e-200,False
Ptprz1,30.2055,1.6192163,2.005690722039412e-200,6.618433573984881e-198,False
Rplp1,30.135296,0.7763045,1.6716178282984859e-199,5.422558239966902e-197,False
Ddah1,30.093567,3.201615,5.88172931665479e-199,1.8454166785484595e-196,False
Phgdh,30.05172,1.9382578,2.073179884501604e-198,6.399772549915516e-196,False
Cspg5,29.939487,4.221424,6.029802524582611e-197,1.8318157225077235e-194,False
Zfp36l1,29.828917,2.5486486,1.6480138596225582e-195,4.928333946768147e-193,False
Hspe1,29.594816,1.2429094,1.742341364950784e-192,4.991835166412171e-190,False
Mt1,28.717356,2.289957,2.316667755051077e-181,5.9917167789084545e-179,False
Prdx6,28.385643,1.586446,3.041370569764475e-177,7.659051491410828e-175,False
Mt2,28.221281,2.2863693,3.205729956546921e-175,7.865957133121991e-173,False
Gpm6b,27.651445,1.4225976,2.6812592852436456e-168,6.335385365466436e-166,False
Mmd2,27.299099,2.7825239,4.347271955678324e-164,9.905052138062791e-162,False
Ppib,26.990328,0.9230994,1.9195473698647072e-160,4.1278895631281604e-158,False
Ntrk2,26.974611,2.2939157,2.93499416658447e-160,6.2414281504733534e-158,False
Ldhb,26.430227,1.1270301,6.158924808219889e-154,1.2539964032395795e-151,False
Dtna,26.30547,3.0305483,1.660393806051596e-152,3.345081795160158e-150,False
Myo10,26.240532,1.8308501,9.167083572704736e-152,1.8087506443092366e-149,False
Gas1,26.198935,2.658996,2.732677245009942e-151,5.336807121657681e-149,False
Cpe,26.11177,1.7443436,2.680063729206348e-150,5.1811858296242725e-148,False
Zcchc24,26.070505,3.257939,7.877932200183586e-150,1.5077574437931365e-147,False
Hes6,25.779724,1.6543046,1.4969738365364547e-146,2.836691312620912e-144,False
Tspan3,25.468544,1.2212098,4.399736240002916e-143,8.096783836289982e-141,False
2810459M11Rik,25.132843,3.5681164,2.1768863341192906e-139,3.857724773028621e-137,False
Mt3,25.10078,3.3120303,4.876635188032971e-139,8.562745033372756e-137,False
Zfp36l2,24.887794,1.9592698,1.0086644960008453e-136,1.7236455168714443e-134,False
Rpl12,24.88366,0.6742327,1.1182126707428651e-136,1.893935602243159e-134,False
Hspd1,24.79322,1.0711644,1.0608763138999058e-135,1.781062436116693e-133,False
Fam171b,24.743002,1.6200433,3.6874816288193007e-135,6.084026801204534e-133,False
Gpr37l1,24.726025,3.6869664,5.615688270123586e-135,9.186210068538062e-133,False
Metrn,24.700275,2.3230755,1.062215815440749e-134,1.7083822261949996e-132,False
